296601.130,6180079.077,13.91
296601.130,6180078.077,13.908
296601.130,6180077.077,13.907
296601.130,6180076.077,13.908
296601.130,6180075.077,13.913
296601.130,6180074.077,13.931
296601.130,6180073.077,13.962
296601.130,6180072.077,13.994
296601.130,6180071.077,14.023
296601.130,6180070.077,14.046
296601.130,6180069.077,14.053
296601.130,6180068.077,14.059
296601.130,6180067.077,14.064
296601.130,6180066.077,14.069
296601.130,6180065.077,14.086
296601.130,6180064.077,14.114
296601.130,6180063.077,14.137
296601.130,6180062.077,14.157
296601.130,6180061.077,14.18
296601.130,6180060.077,14.203
296601.130,6180059.077,14.222
296601.130,6180058.077,14.24
296601.130,6180057.077,14.261
296601.130,6180056.077,14.285
296601.130,6180055.077,14.309
296601.130,6180054.077,14.333
296601.130,6180053.077,14.361
296601.130,6180052.077,14.394
296601.130,6180051.077,14.423
296601.130,6180050.077,14.452
296601.130,6180049.077,14.481
296601.130,6180048.077,14.512
296601.130,6180047.077,14.539
296601.130,6180046.077,14.554
296601.130,6180045.077,14.565
296601.130,6180044.077,14.576
296601.130,6180043.077,14.593
296601.130,6180042.077,14.629
296601.130,6180041.077,14.658
296601.130,6180040.077,14.68
296601.130,6180039.077,14.696
296601.130,6180038.077,14.706
296601.130,6180037.077,14.719
296601.130,6180036.077,14.738
296601.130,6180035.077,14.76
296601.130,6180034.077,14.782
296601.130,6180033.077,14.804
296601.130,6180032.077,14.823
296601.130,6180031.077,14.837
296601.130,6180030.077,14.844
296601.130,6180029.077,14.847
296601.130,6180028.077,14.854
296601.130,6180027.077,14.868
296601.130,6180026.077,14.883
296601.130,6180025.077,14.894
296601.130,6180024.077,14.905
296601.130,6180023.077,14.915
296601.130,6180022.077,14.926
296601.130,6180021.077,14.935
296601.130,6180020.077,14.942
296601.130,6180019.077,14.95
296601.130,6180018.077,14.963
296601.130,6180017.077,14.978
296601.130,6180016.077,14.994
296601.130,6180015.077,15.01
296601.130,6180014.077,15.023
296601.130,6180013.077,15.033
296601.130,6180012.077,15.038
296601.130,6180011.077,15.041
296601.130,6180010.077,15.038
296601.130,6180009.077,15.045
296601.130,6180008.077,15.058
296601.130,6180007.077,15.073
296601.130,6180006.077,15.088
296601.130,6180005.077,15.099
296601.130,6180004.077,15.108
296601.130,6180003.077,15.115
296601.130,6180002.077,15.121
296601.130,6180001.077,15.117
296601.130,6180000.077,15.111
296601.130,6179999.077,15.106
296601.130,6179998.077,15.105
296601.130,6179997.077,15.115
296601.130,6179996.077,15.135
296601.130,6179995.077,15.148
296601.130,6179994.077,15.156
296601.130,6179993.077,15.161
296601.130,6179992.077,15.16
296601.130,6179991.077,15.156
296601.130,6179990.077,15.153
296601.130,6179989.077,15.153
296601.130,6179988.077,15.159
296601.130,6179987.077,15.165
296601.130,6179986.077,15.171
296601.130,6179985.077,15.174
296601.130,6179984.077,15.173
296601.130,6179983.077,15.181
296601.130,6179982.077,15.19
296601.130,6179981.077,15.201
296601.130,6179980.077,15.211
296601.130,6179979.077,15.221
296601.130,6179978.077,15.232
296601.130,6179977.077,15.243
296601.130,6179976.077,15.25
296601.130,6179975.077,15.248
296601.130,6179974.077,15.242
296601.130,6179973.077,15.236
296601.130,6179972.077,15.23
296601.130,6179971.077,15.224
296601.130,6179970.077,15.218
296601.130,6179969.077,15.217
296601.130,6179968.077,15.22
296601.130,6179967.077,15.225
296601.130,6179966.077,15.234
296601.130,6179965.077,15.245
296602.130,6180079.077,13.833
296602.130,6180078.077,13.836
296602.130,6180077.077,13.84
296602.130,6180076.077,13.848
296602.130,6180075.077,13.864
296602.130,6180074.077,13.889
296602.130,6180073.077,13.921
296602.130,6180072.077,13.954
296602.130,6180071.077,13.986
296602.130,6180070.077,14.014
296602.130,6180069.077,14.026
296602.130,6180068.077,14.036
296602.130,6180067.077,14.044
296602.130,6180066.077,14.049
296602.130,6180065.077,14.054
296602.130,6180064.077,14.078
296602.130,6180063.077,14.101
296602.130,6180062.077,14.123
296602.130,6180061.077,14.146
296602.130,6180060.077,14.168
296602.130,6180059.077,14.188
296602.130,6180058.077,14.208
296602.130,6180057.077,14.231
296602.130,6180056.077,14.259
296602.130,6180055.077,14.282
296602.130,6180054.077,14.303
296602.130,6180053.077,14.329
296602.130,6180052.077,14.366
296602.130,6180051.077,14.404
296602.130,6180050.077,14.439
296602.130,6180049.077,14.472
296602.130,6180048.077,14.503
296602.130,6180047.077,14.533
296602.130,6180046.077,14.55
296602.130,6180045.077,14.563
296602.130,6180044.077,14.573
296602.130,6180043.077,14.583
296602.130,6180042.077,14.615
296602.130,6180041.077,14.643
296602.130,6180040.077,14.668
296602.130,6180039.077,14.688
296602.130,6180038.077,14.703
296602.130,6180037.077,14.715
296602.130,6180036.077,14.733
296602.130,6180035.077,14.755
296602.130,6180034.077,14.776
296602.130,6180033.077,14.795
296602.130,6180032.077,14.81
296602.130,6180031.077,14.821
296602.130,6180030.077,14.828
296602.130,6180029.077,14.831
296602.130,6180028.077,14.843
296602.130,6180027.077,14.858
296602.130,6180026.077,14.873
296602.130,6180025.077,14.885
296602.130,6180024.077,14.896
296602.130,6180023.077,14.908
296602.130,6180022.077,14.918
296602.130,6180021.077,14.927
296602.130,6180020.077,14.934
296602.130,6180019.077,14.943
296602.130,6180018.077,14.956
296602.130,6180017.077,14.972
296602.130,6180016.077,14.988
296602.130,6180015.077,15.004
296602.130,6180014.077,15.019
296602.130,6180013.077,15.032
296602.130,6180012.077,15.038
296602.130,6180011.077,15.038
296602.130,6180010.077,15.035
296602.130,6180009.077,15.04
